Review # (roughly),Artist Name,Album Name,Melon's Rating,Link To Review
2344,Clairo,Sling,7,https://youtu.be/VJylCsmlXUk
2343,Pop Smoke,Faith,4,https://youtu.be/UJxveXgSgcI
2342,Tones And I,Welcome To The Madhouse,0,miss this one
2341,Twin Shadow,Twin Shadow,8,https://youtu.be/GqV5df08bTs
2340,Vince Staples,Vince Staples,7,https://www.youtube.com/watch?v=E4Qm0wH8p8M
2339,Tkay Maidza,"Last Year Was Weird, Vol. 3",7,https://youtu.be/oHamL-uvA-0
2338,Lucy Dacus,Home Video,7,https://www.youtube.com/watch?v=oDf4V3nUOUg
2337,Spellling,The Turning Wheel,10,https://youtu.be/rTaUAz5xrD4
2336,Gaspard Augé,Escapades,4,https://youtu.be/7_JvIj6Goq4
2335,Modest Mouse,The Golden Casket,2,https://www.youtube.com/watch?v=Ppn7Km1v7pA
2334,Doja Cat,Planet Her,5,https://youtu.be/TSrMYyc9Hr0
2333,"Tyler, the Creator",CALL ME IF YOU GET LOST,8,https://youtu.be/DTsUahG-6us
2332,Hiatus Kaiyote,Mood Valiant,7,https://www.youtube.com/watch?v=UXJxwRuOGsY
2331,Backxwash,I Lie Here Buried With My Rings and My Dresses,8,https://youtu.be/6kWWLOampOM
2330,Pi'erre Bourne,The Life Of Pi'erre 5,5,https://youtu.be/khl_jrfz-ws
2329,Dean Blunt,Black Metal 2,7,https://youtu.be/TYE930nQfig
2328,MARINA,Ancient Dreams In A Modern Land,6,https://youtu.be/lCIveUzyIyI
2327,Migos,Culture III,2,https://youtu.be/Kkm-LnhiwGQ
2326,Polo G,Hall Of Fame,6,https://www.youtube.com/watch?v=oQinyQ4_qws
2325,King Gizzard and the Lizard Wizard,Butterfly 3000,5,https://www.youtube.com/watch?v=3RJ46MSQS1k
2324,Lil Baby & Lil Durk,The Voice of the Heroes,6,https://youtu.be/HUwhPvQYuW8
2323,Japanese Breakfast,Jubilee,7,https://www.youtube.com/watch?v=ojnqYC34JOQ
2322,Wolf Alice,Blue Weekend,4,https://www.youtube.com/watch?v=EIF4XGDYLI8
2321,Sweet Trip,"A Tiny House, in Secret Speeches, Polar Equals",7,https://youtu.be/si-WIvjw1e8
2320,Bladee,The Fool,6,https://youtu.be/1caj1joTPM4
2319,DMX,Exodus,5,https://youtu.be/4uDvhwzNcP8
2318,Natalia Lafourcade,"Un Canto por México, Vol. II",6,https://www.youtube.com/watch?v=1ntJS8q74k4
2317,Portal,Avow,5,https://youtu.be/alFbsK3P12Q
2316,black midi,Cavalcade,8,https://youtu.be/mmMrsCBFflE
2315,Mach-Hommy,Pray For Haiti,7,https://youtu.be/_6w4v3U2RfY
2314,Olivia Rodrigo,SOUR,7,https://youtu.be/A5jD5agdfww
2313,Twenty One Pilots,Scaled And Icy,2,https://youtu.be/WS1mVfnfLK8
2312,Panopticon,...And Again Into the Light,8,https://www.youtube.com/watch?v=58of4qFifBM
2311,St. Vincent,Daddy's Home,9,https://www.youtube.com/watch?v=Nm2K9usYpfY
2310,Sons of Kemet,Black To The Future,7,https://youtu.be/8_MdFmLSbaY
2309,J. Cole,The Off-Season,7,https://www.youtube.com/watch?v=cxwUIsWlbQ0
